text,label
"Government giving ₹10000 to every citizen apply now",Fake
"Breaking: The prime minister inaugurated a new hospital in Delhi today.",Real
"Share this message to 10 people and win a free smartphone!",Fake
"Reserve Bank of India announces new monetary policy, keeping repo rate unchanged.",Real
"UNESCO declares Indian national anthem as best in the world.",Fake
"Stock markets hit an all-time high following the union budget announcement.",Real
"New ₹2000 notes have generic GPS tracking chips inside.",Fake
"ISRO successfully launches its new communication satellite from Sriharikota.",Real
"Miracle cure found! Drink boiled garlic water to cure all diseases.",Fake
"The meteorological department has predicted heavy rainfall in coastal areas this week.",Real
"NASA confirms that Earth will experience 15 days of total darkness next month.",Fake
"The Supreme Court of India issues new guidelines for environmental protection.",Real
"Forward this to avoid your account getting blocked starting midnight today.",Fake
"Ministry of Health releases updated vaccination schedule for children.",Real
"Secret hidden cameras found in new hotel room mirrors, check before you stay!",Fake
"India wins the test series against Australia by 2-1.",Real
"Free laptops being distributed by government for students, click link to register.",Fake
"Tech giant announces new manufacturing plant in Karnataka, creating 5000 jobs.",Real
